Identifier	Comment	English	EnglishNodes	Deutsch	ZH	BE	SG	Francais
L_lake_morphol_C02_C02.0401		C02.0401	C02.0401	C02.0401	C02.0401	C02.0401	C02.0401	C02.0401
L_lake_morphol_C02_C02.0402		C02.0402	C02.0402	C02.0402	C02.0402	C02.0402	C02.0402	C02.0402
L_lake_morphol_C02_C02.0403		C02.0403	C02.0403	C02.0403	C02.0403	C02.0403	C02.0403	C02.0403
L_lake_morphol_C02_C02.0404		C02.0404	C02.0404	C02.0404	C02.0404	C02.0404	C02.0404	C02.0404
L_lake_morphol_C02_C02.0405		C02.0405	C02.0405	C02.0405	C02.0405	C02.0405	C02.0405	C02.0405
L_lake_morphol_C02_C02.0406		C02.0406	C02.0406	C02.0406	C02.0406	C02.0406	C02.0406	C02.0406
L_lake_morphol_C02_C02.05		C02.05	C02.05	C02.05	C02.05	C02.05	C02.05	C02.05
L_lake_morphol_C02_C02.0501		C02.0501	C02.0501	C02.0501	C02.0501	C02.0501	C02.0501	C02.0501
A_lake_morphol_C03	C03_Verkehrswege_Flaechen_US	C03	C03	C03	C03	C03	C03	C03
L_lake_morphol_C03_C03.01		C03.01	C03.01	C03.01	C03.01	C03.01	C03.01	C03.01
L_lake_morphol_C03_C03.02		C03.02	C03.02	C03.02	C03.02	C03.02	C03.02	C03.02
L_lake_morphol_C03_C03.03		C03.03	C03.03	C03.03	C03.03	C03.03	C03.03	C03.03
L_lake_morphol_C03_C03.04		C03.04	C03.04	C03.04	C03.04	C03.04	C03.04	C03.04
L_lake_morphol_C03_C03.05		C03.05	C03.05	C03.05	C03.05	C03.05	C03.05	C03.05
L_lake_morphol_C03_C03.06		C03.06	C03.06	C03.06	C03.06	C03.06	C03.06	C03.06
L_lake_morphol_C03_C03.07		C03.07	C03.07	C03.07	C03.07	C03.07	C03.07	C03.07
L_lake_morphol_C03_C03.08		C03.08	C03.08	C03.08	C03.08	C03.08	C03.08	C03.08
L_lake_morphol_C03_C03.09		C03.09	C03.09	C03.09	C03.09	C03.09	C03.09	C03.09
L_lake_morphol_C03_C03.10		C03.10	C03.10	C03.10	C03.10	C03.10	C03.10	C03.10
L_lake_morphol_C03_C03.11		C03.11	C03.11	C03.11	C03.11	C03.11	C03.11	C03.11
A_lake_morphol_C04	C04_Land_Forstw_Nutzung_US	C04	C04	C04	C04	C04	C04	C04
L_lake_morphol_C04_C04.01		C04.01	C04.01	C04.01	C04.01	C04.01	C04.01	C04.01
L_lake_morphol_C04_C04.02		C04.02	C04.02	C04.02	C04.02	C04.02	C04.02	C04.02
L_lake_morphol_C04_C04.0201		C04.0201	C04.0201	C04.0201	C04.0201	C04.0201	C04.0201	C04.0201
L_lake_morphol_C04_C04.0202		C04.0202	C04.0202	C04.0202	C04.0202	C04.0202	C04.0202	C04.0202
L_lake_morphol_C04_C04.0203		C04.0203	C04.0203	C04.0203	C04.0203	C04.0203	C04.0203	C04.0203
L_lake_morphol_C04_C04.0204		C04.0204	C04.0204	C04.0204	C04.0204	C04.0204	C04.0204	C04.0204
L_lake_morphol_C04_C04.04		C04.04	C04.04	C04.04	C04.04	C04.04	C04.04	C04.04
L_lake_morphol_C04_C04.03		C04.03	C04.03	C04.03	C04.03	C04.03	C04.03	C04.03
L_lake_morphol_C04_C04.0301		C04.0301	C04.0301	C04.0301	C04.0301	C04.0301	C04.0301	C04.0301
L_lake_morphol_C04_C04.0302		C04.0302	C04.0302	C04.0302	C04.0302	C04.0302	C04.0302	C04.0302
L_lake_morphol_C04_C04.0303		C04.0303	C04.0303	C04.0303	C04.0303	C04.0303	C04.0303	C04.0303
L_lake_morphol_C04_C04.0304		C04.0304	C04.0304	C04.0304	C04.0304	C04.0304	C04.0304	C04.0304
A_lake_morphol_C05	C05_Fliessgewaesserverbauung_US	C05	C05	C05	C05	C05	C05	C05
L_lake_morphol_C05_C05.01		C05.01	C05.01	C05.01	C05.01	C05.01	C05.01	C05.01
L_lake_morphol_C05_C05.02		C05.02	C05.02	C05.02	C05.02	C05.02	C05.02	C05.02
L_lake_morphol_C05_C05.03		C05.03	C05.03	C05.03	C05.03	C05.03	C05.03	C05.03
L_lake_morphol_C05_C05.04		C05.04	C05.04	C05.04	C05.04	C05.04	C05.04	C05.04
L_lake_morphol_C05_C05.05		C05.05	C05.05	C05.05	C05.05	C05.05	C05.05	C05.05
L_lake_morphol_C05_C05.06		C05.06	C05.06	C05.06	C05.06	C05.06	C05.06	C05.06
L_lake_morphol_C05_C05.07		C05.07	C05.07	C05.07	C05.07	C05.07	C05.07	C05.07
A_lake_morphol_D01	D01_Nutzung_HL	D01	D01	D01	D01	D01	D01	D01
L_lake_morphol_D01_D01.01		D01.01	D01.01	D01.01	D01.01	D01.01	D01.01	D01.01
L_lake_morphol_D01_D01.02		D01.02	D01.02	D01.02	D01.02	D01.02	D01.02	D01.02
L_lake_morphol_D01_D01.0201		D01.0201	D01.0201	D01.0201	D01.0201	D01.0201	D01.0201	D01.0201
L_lake_morphol_D01_D01.0202		D01.0202	D01.0202	D01.0202	D01.0202	D01.0202	D01.0202	D01.0202
L_lake_morphol_D01_D01.0203		D01.0203	D01.0203	D01.0203	D01.0203	D01.0203	D01.0203	D01.0203
L_lake_morphol_D01_D01.0204		D01.0204	D01.0204	D01.0204	D01.0204	D01.0204	D01.0204	D01.0204
L_lake_morphol_D01_D01.03		D01.03	D01.03	D01.03	D01.03	D01.03	D01.03	D01.03
L_lake_morphol_D01_D01.0301		D01.0301	D01.0301	D01.0301	D01.0301	D01.0301	D01.0301	D01.0301
L_lake_morphol_D01_D01.0302		D01.0302	D01.0302	D01.0302	D01.0302	D01.0302	D01.0302	D01.0302
L_lake_morphol_D01_D01.0303		D01.0303	D01.0303	D01.0303	D01.0303	D01.0303	D01.0303	D01.0303
L_lake_morphol_D01_D01.0304		D01.0304	D01.0304	D01.0304	D01.0304	D01.0304	D01.0304	D01.0304
L_lake_morphol_D01_D01.04		D01.04	D01.04	D01.04	D01.04	D01.04	D01.04	D01.04
L_lake_morphol_D01_D01.0401		D01.0401	D01.0401	D01.0401	D01.0401	D01.0401	D01.0401	D01.0401
L_lake_morphol_D01_D01.0402		D01.0402	D01.0402	D01.0402	D01.0402	D01.0402	D01.0402	D01.0402
L_lake_morphol_D01_D01.0403		D01.0403	D01.0403	D01.0403	D01.0403	D01.0403	D01.0403	D01.0403
L_lake_morphol_D01_D01.0404		D01.0404	D01.0404	D01.0404	D01.0404	D01.0404	D01.0404	D01.0404
L_lake_morphol_D01_D01.0405		D01.0405	D01.0405	D01.0405	D01.0405	D01.0405	D01.0405	D01.0405
L_lake_morphol_D01_D01.0406		D01.0406	D01.0406	D01.0406	D01.0406	D01.0406	D01.0406	D01.0406
L_lake_morphol_D01_D01.05		D01.05	D01.05	D01.05	D01.05	D01.05	D01.05	D01.05
L_lake_morphol_D01_D01.0501		D01.0501	D01.0501	D01.0501	D01.0501	D01.0501	D01.0501	D01.0501
L_lake_morphol_D01_D01.0502		D01.0502	D01.0502	D01.0502	D01.0502	D01.0502	D01.0502	D01.0502
L_lake_morphol_D01_D01.0503		D01.0503	D01.0503	D01.0503	D01.0503	D01.0503	D01.0503	D01.0503
L_lake_morphol_D01_D01.0504		D01.0504	D01.0504	D01.0504	D01.0504	D01.0504	D01.0504	D01.0504
A_lake_morphol_D02	D02_Uebergangsvegetation_HL	D02	D02	D02	D02	D02	D02	D02
L_lake_morphol_D02_D02.01		D02.01	D02.01	D02.01	D02.01	D02.01	D02.01	D02.01
L_lake_morphol_D02_D02.02		D02.02	D02.02	D02.02	D02.02	D02.02	D02.02	D02.02
L_lake_morphol_D02_D02.03		D02.03	D02.03	D02.03	D02.03	D02.03	D02.03	D02.03
L_lake_morphol_D02_D02.04		D02.04	D02.04	D02.04	D02.04	D02.04	D02.04	D02.04
A_lake_morphol_datacol_from		From	Von	Von	Von	Von	Von	De
A_lake_morphol_datacol_to		To	Bis	Bis	Bis	Bis	Bis	A
A_lake_morphol_datacol_code		Code	Code	Code	Code	Code	Code	Code
A_lake_morphol_datacol_id		ID	ID	ID	ID	ID	ID	ID
A_lake_morphol_datacol_comments		Comments	Bemerkungen	Bemerkungen	Bemerkungen	Bemerkungen	Bemerkungen	Remarques
								
N_macrophytes_bryophytesriver		BR	BR	MB	MB	MB	MB	CB
N_macrophytes_macbryriver_goodstate		Good ecological state aquatic vegetation	good ecological state aquatic vegetation	Guter oekologischer Zustand aquatische Vegetation	Guter oekologischer Zustand aquatische Vegetation	Guter oekologischer Zustand aquatische Vegetation	Guter oekologischer Zustand aquatische Vegetation	Bon etat ecologique de la vegetation aquatique
N_macrophytes_goodstate		Good ecological state of macrophytes river	good ecological state of macrophytes river	Guter oekologischer Zustand Makrophyten	Guter oekologischer Zustand Makrophyten	Guter oekologischer Zustand Makrophyten	Guter oekologischer Zustand Makrophyten	Bon etat ecologique des macrophytes
N_macrophytes_indexspeciesmac		High value of macrophytes index species	high value of macrophytes index species	Hoher Wert Leitarten Makrophyten	Hoher Wert Leitarten Makrophyten	Hoher Wert Leitarten Makrophyten	Hoher Wert Leitarten Makrophyten	Haute valeur des esp. car. de macrophytes
N_macrophytes_indexspeciesbry		High value of bryophyte index species	high value of bryophyte index species	Hoher Wert Leitarten Moose	Hoher Wert Leitarten Moose	Hoher Wert Leitarten Moose	Hoher Wert Leitarten Moose	Haute valeur des esp. car. de bryophytes
N_macrophytes_priorityspecies		High value of priority taxa	high value of priority taxa	Hohe Prioritaet Arten	Hohe Prioritaet Arten	Hohe Prioritaet Arten	Hohe Prioritaet Arten	Haute priorite des especes
N_macrophytes_neophytes		Small fraction of neophytes	small fraction of neophytes	Keine Neophyten	Keine Neophyten	Keine Neophyten	Keine Neophyten	Pas de neophytes
N_macrophytes_manytaxa		Many taxa	many taxa	Viele Arten	Viele Arten	Viele Arten	Viele Arten	Nombreuses especes
N_macrophytes_manyhelophytes		Many helophytic taxa	many helophytic taxa	Viele Arten Helophyten	Viele Arten Helophyten	Viele Arten Helophyten	Viele Arten Helophyten	Nombreuses especes d'helophytes
N_macrophytes_manyaquatic		Many aquatic taxa	many aquatic taxa	Viele Arten aquatische Makrophyten	Viele Arten aquatische Makrophyten	Viele Arten aquatische Makrophyten	Viele Arten aquatische Makrophyten	Nombreuses especes d'hydrophytes
N_macrophytes_manybryophytes		Many bryophytes taxa	many bryophytes taxa	Viele Arten Moose	Viele Arten Moose	Viele Arten Moose	Viele Arten Moose	Nombreuses especes de bryophytes
N_macrophytes_manygrowthforms		Many growth forms	many growth forms	Viele Wuchsformen	Viele Wuchsformen	Viele Wuchsformen	Viele Wuchsformen	Nombreuses formes de croissance
N_macrophytes_manygrowthformshelophytes		Many helophytic growth forms	many helophytic growth forms	Viele helophytische Wuchsformen	Viele helophytische Wuchsformen	Viele helophytische Wuchsformen	Viele helophytische Wuchsformen	Nombr. formes de croiss. helophytiques
N_macrophytes_manygrowthformsaquatic		Many aquatic growth forms	many aquatic growth forms	Viele aquatische Wuchsformen	Viele aquatische Wuchsformen	Viele aquatische Wuchsformen	Viele aquatische Wuchsformen	Nombr. formes de croiss. hydrophytiques
N_macrophytes_fracthelophytes		Typical fraction of helophytes	typical fraction of helophytes	Typgerechter Anteil Helophyten	Typgerechter Anteil Helophyten	Typgerechter Anteil Helophyten	Typgerechter Anteil Helophyten	Part d'helophytes conforme au type
N_macrophytes_fractaquatic		Typical fraction of aquatic taxa	typical fraction of aquatic taxa	Typgerechter Anteil aquatische Makrophyten	Typgerechter Anteil aquatische Makrophyten	Typgerechter Anteil aquatische Makrophyten	Typgerechter Anteil aquatische Makrophyten	Part d'hydrophytes conforme au type
N_macrophytes_fractbryophytesadj		Typical fraction of bryophytes adj.	typical fraction of bryophytes adj.	Typgerechter Anteil Moose Adj.	Typgerechter Anteil Moose Adj.	Typgerechter Anteil Moose Adj.	Typgerechter Anteil Moose Adj.	Part de bryophytes conforme au type adj.
N_macrophytes_smallfractbryophytesartsubst		Fraction of briophytes on art. substr.	fraction of briophytes on art. substr.	Anteil Moose auf kuenstlichem Substrat	Anteil Moose auf kuenstlichem Substrat	Anteil Moose auf kuenstlichem Substrat	Anteil Moose auf kuenstlichem Substrat	Proportion de bryophytes sur substrat artificiel
N_macrophytes_fractalgae		Small fraction of algae	small fraction of algae	Geringer Anteil Algen	Geringer Anteil Algen	Geringer Anteil Algen	Geringer Anteil Algen	Faible part d'algues
N_macrophytes_dominance		Typical dominance of taxa	typical dominance of taxa	Typgerechte Dominanz Arten	Typgerechte Dominanz Arten	Typgerechte Dominanz Arten	Typgerechte Dominanz Arten	Dominance des especes conforme au type
N_macrophytes_cover		Typical coverage of macrophytes	typical coverage of macrophytes	Typgerechte Deckung Makrophyten	Typgerechte Deckung Makrophyten	Typgerechte Deckung Makrophyten	Typgerechte Deckung Makrophyten	Recouvr. des macrophytes conf. au type
N_macrophytes_coveralgae		Few algae	few algae	Geringe Deckung Algen	Geringe Deckung Algen	Geringe Deckung Algen	Geringe Deckung Algen	Recouvrement faible des algues
N_macrophytes_manytaxaoftypicalgrowthform		Many taxa of typical growth form	many taxa of typical growth form	Viele Arten typgerechte Wuchsform(en)	Viele Arten typgerechte Wuchsform(en)	Viele Arten typgerechte Wuchsform(en)	Viele Arten typgerechte Wuchsform(en)	Nombr. esp. avec forme de croiss. conf. au type
N_macrophytes_typicalnumtaxa		Typical number of taxa	typical number of taxa	Typgerechte Anzahl Arten	Typgerechte Anzahl Arten	Typgerechte Anzahl Arten	Typgerechte Anzahl Arten	Nombre d'especes conforme au type
N_macrophytes_manytypicalgrowthforms		Many typical growth forms	many typical growth forms	Viele typgerechte Wuchsformen	Viele typgerechte Wuchsformen	Viele typgerechte Wuchsformen	Viele typgerechte Wuchsformen	Nombr. formes de croiss. conf. au type
N_macrophytes_typicalnumgrowthforms		Typical number of growth forms	typical number of growth forms	Typgerechte Anzahl Wuchsformen	Typgerechte Anzahl Wuchsformen	Typgerechte Anzahl Wuchsformen	Typgerechte Anzahl Wuchsformen	Nombre de formes de croiss. conf. au type
N_macrophytes_typicalfractmacrophytes		Typical fraction of macrophytes	typical fraction of macrophytes	Typgerechter Anteil Makrophyten	Typgerechter Anteil Makrophyten	Typgerechter Anteil Makrophyten	Typgerechter Anteil Makrophyten	Part de macrophytes conforme au type
N_macrophytes_typicalfractofgrowthforms		Typical fractions of growth forms	typical fractions of growth forms	Typgerechter Anteil Wuchsformen	Typgerechter Anteil Wuchsformen	Typgerechter Anteil Wuchsformen	Typgerechter Anteil Wuchsformen	Part des formes de croiss. conf. au type
N_macrophytes_typicaldiversity		Typical diversity	typical diversity	Typgerechte Diversitaet	Typgerechte Diversitaet	Typgerechte Diversitaet	Typgerechte Diversitaet	Diversite conforme au type
N_macrophytes_typicalcomposition		Typical community composition	typical community composition	Typgerechte Zusammensetzung	Typgerechte Zusammensetzung	Typgerechte Zusammensetzung	Typgerechte Zusammensetzung	Composition conforme au type
N_macrophytes_typicalcover		Typical coverage	typical coverage	Typgerechte Deckung	Typgerechte Deckung	Typgerechte Deckung	Typgerechte Deckung	Recouvrement conforme au type
N_macrophytes_typicalcommunity		Typical community	typical community	Typgerechte Gemeinschaft	Typgerechte Gemeinschaft	Typgerechte Gemeinschaft	Typgerechte Gemeinschaft	Communaute conforme au type
N_macrophytes_highvaluekeytaxa		High value of index taxa	high value of index taxa	Hoher Wert Leitarten	Hoher Wert Leitarten	Hoher Wert Leitarten	Hoher Wert Leitarten	Haute valeur des especes caracteristiques
N_macrophytes_highqualitytaxa		High quality of taxa	high quality of taxa	Hohe Qualitaet Arten	Hohe Qualitaet Arten	Hohe Qualitaet Arten	Hohe Qualitaet Arten	Haute qualite des especes
								
A_macrophytes_rivertype_class	Makrophyten-Flusstyp	RiverType	Flusstyp	Flusstyp	Flusstyp	Flusstyp	Flusstyp	TypeCoursDeau
A_macrophytes_rivertypescheme_class	Makrophyten-Flusstyp Schema	RiverTypeScheme	FlusstypSchema	FlusstypSchema	FlusstypSchema	FlusstypSchema	FlusstypSchema	TypeSchema
A_macrophytes_rivertypescheme_index	Makrophyten-Flusstyp Zeile-Spalte	RiverTypeRowCol	FlusstypZeileSpalte	FlusstypZeileSpalte	FlusstypZeileSpalte	FlusstypZeileSpalte	FlusstypZeileSpalte	TypeLigneColonne
A_macrophytes_rivertypeval_class	Makrophyten-Flusstyp Kern	RiverTypeValuation	FlusstypBewertung	FlusstypBewertung	FlusstypBewertung	FlusstypBewertung	FlusstypBewertung	TypeEvaluation
A_macrophytes_rivertypegrfo_class	Makrophyten-Flusstyp Wuchsform	RiverTypeGrowthForm	FlusstypWuchsform	FlusstypWuchsform	FlusstypWuchsform	FlusstypWuchsform	FlusstypWuchsform	TypeFormeCroissance
A_macrophytes_rivertypescheme_orig_class	Makrophyten-Flusstyp Schema original	RiverTypeScheme_original	FlusstypSchema_Original	FlusstypSchema_Original	FlusstypSchema_Original	FlusstypSchema_Original	FlusstypSchema_Original	TypeSchema_Original
A_macrophytes_rivertypeval_orig_class	Makrophyten-Flusstyp Bewertung original	RiverTypeValuation_original	FlusstypBewertung_Original	FlusstypBewertung_Original	FlusstypBewertung_Original	FlusstypBewertung_Original	FlusstypBewertung_Original	TypeEvaluation_Original
A_macrophytes_rivertypescheme_proposed_class	Makrophyten-Flusstyp Schema vorgeschlagen	RiverTypeScheme_suggestion	FlusstypSchema_Vorschlag	FlusstypSchema_Vorschlag	FlusstypSchema_Vorschlag	FlusstypSchema_Vorschlag	FlusstypSchema_Vorschlag	TypeSchema_Proposition
A_macrophytes_rivertypeval_proposed_class	Makrophyten-Flusstyp Bewertung vorgeschlagen	RiverTypeValuation_suggestion	FlusstypBewertung_Vorschlag	FlusstypBewertung_Vorschlag	FlusstypBewertung_Vorschlag	FlusstypBewertung_Vorschlag	FlusstypBewertung_Vorschlag	TypeEvaluation_Proposition
A_macrophytes_rivertypescheme_plaus_class	Makrophyten-Flusstyp Schema plausibilisiert	RiverTypeScheme_plaus	FlusstypSchema_Plaus	FlusstypSchema_Plaus	FlusstypSchema_Plaus	FlusstypSchema_Plaus	FlusstypSchema_Plaus	TypeSchema_Vrais
A_macrophytes_rivertypeval_plaus_class	Makrophyten-Flusstyp Bewertung plausibilisiert	RiverTypeValuation_plaus	FlusstypBewertung_Plaus	FlusstypBewertung_Plaus	FlusstypBewertung_Plaus	FlusstypBewertung_Plaus	FlusstypBewertung_Plaus	TypeEvaluation_Vrais
A_macrophytes_rivertype_plaus_class	Makrophyten-Flusstyp plausibilisiert	RiverType_plaus	Flusstyp_Plaus	Flusstyp_Plaus	Flusstyp_Plaus	Flusstyp_Plaus	Flusstyp_Plaus	TypeCoursDeau_Vrais
A_macrophytes_rivertypescheme_final_class	Makrophyten-Flusstyp Schema final	RiverTypeScheme_final	FlusstypSchema_Final	FlusstypSchema_Final	FlusstypSchema_Final	FlusstypSchema_Final	FlusstypSchema_Final	TypeSchema_Final
A_macrophytes_rivertypeval_final_class	Makrophyten-Flusstyp Bewertung final	RiverTypeValuation_final	FlusstypBewertung_Final	FlusstypBewertung_Final	FlusstypBewertung_Final	FlusstypBewertung_Final	FlusstypBewertung_Final	TypeEvaluation_Final
L_macrophytes_rivertype_class_smallsubmerged		SS	SS	KS	KS	KS	KS	PS
L_macrophytes_rivertype_class_mediumsubmerged		MS	MS	MS	MS	MS	MS	MS
L_macrophytes_rivertype_class_largesubmerged		LS	LS	GS	GS	GS	GS	GS
L_macrophytes_rivertype_class_verylargesubmerged		VLS	VLS	SGS	SGS	SGS	SGS	TGS
L_macrophytes_rivertype_class_smallsubmergedhelophyte		SS-SH	SS-SH	KS-KH	KS-KH	KS-KH	KS-KH	PS-PH
L_macrophytes_rivertype_class_mediumsubmergedhelophyte		MS-MH	MS-MH	MS-MH	MS-MH	MS-MH	MS-MH	MS-MH
L_macrophytes_rivertype_class_smallhelophyte		SH	SH	KH	KH	KH	KH	PH
L_macrophytes_rivertype_class_mediumhelophyte		MH	MH	MH	MH	MH	MH	MH
L_macrophytes_rivertype_class_smallhelophytebryophyte		SH-SB	SH-SB	KH-KM	KH-KM	KH-KM	KH-KM	PH-PB
L_macrophytes_rivertype_class_mediumhelophytebryophyte		MH-MB	MH-MB	MH-MM	MH-MM	MH-MM	MH-MM	MH-MB
L_macrophytes_rivertype_class_smallbryophyte		SB	SB	KM	KM	KM	KM	PB
L_macrophytes_rivertype_class_mediumbryophyte		MB	MB	MM	MM	MM	MM	MB
L_macrophytes_rivertype_class_largebryophyte		LB	LB	GM	GM	GM	GM	GB
L_macrophytes_rivertype_class_verylargebryophyte		VLB	VLB	SGM	SGM	SGM	SGM	TGB
L_macrophytes_rivertype_class_poorveg		PV	PV	VA	VA	VA	VA	PV
L_macrophytes_rivertype_class_helophyte		H	H	H	H	H	H	H
L_macrophytes_rivertype_class_submerse		S	S	S	S	S	S	S
L_macrophytes_rivertype_class_bryophyte		B	B	M	M	M	M	B
L_macrophytes_rivertype_class_large		E	E	A	A	A	A	E
								
A_macrophytes_indexspeciesmac1_count		n.index.mac.1	n.leitarten.mak.1	n.leitarten.mak.1	n.leitarten.mak.1	n.leitarten.mak.1	n.leitarten.mak.1	n.espcar.macro.1
A_macrophytes_indexspeciesmac2_count		n.index.mac.2	n.leitarten.mak.2	n.leitarten.mak.2	n.leitarten.mak.2	n.leitarten.mak.2	n.leitarten.mak.2	n.espcar.macro.2
A_macrophytes_indexspeciesmac3_count		n.index.mac.3	n.leitarten.mak.3	n.leitarten.mak.3	n.leitarten.mak.3	n.leitarten.mak.3	n.leitarten.mak.3	n.espcar.macro.3
A_macrophytes_indexspeciesbry1_count		n.index.bry.1	n.leitarten.bry.1	n.leitarten.bry.1	n.leitarten.bry.1	n.leitarten.bry.1	n.leitarten.bry.1	n.espcar.bry.1
A_macrophytes_indexspeciesbry2_count		n.index.bry.2	n.leitarten.bry.2	n.leitarten.bry.2	n.leitarten.bry.2	n.leitarten.bry.2	n.leitarten.bry.2	n.espcar.bry.2
A_macrophytes_indexspeciesbry3_count		n.index.bry.3	n.leitarten.bry.3	n.leitarten.bry.3	n.leitarten.bry.3	n.leitarten.bry.3	n.leitarten.bry.3	n.espcar.bry.3
A_macrophytes_priorityspecies1_count		n.priority.1	n.priority.1	n.priority.1	n.priority.1	n.priority.1	n.priority.1	n.espprio.1
A_macrophytes_priorityspecies2_count		n.priority.2	n.priority.2	n.priority.2	n.priority.2	n.priority.2	n.priority.2	n.espprio.2
A_macrophytes_priorityspecies3_count		n.priority.3	n.priority.3	n.priority.3	n.priority.3	n.priority.3	n.priority.3	n.espprio.3
A_macrophytes_priorityspecies4_count		n.priority.4	n.priority.4	n.priority.4	n.priority.4	n.priority.4	n.priority.4	n.espprio.4
A_macrophytes_neophytes_relcover_percent		cov.neo.rel	dg.neo.rel	dg.neo.rel	dg.neo.rel	dg.neo.rel	dg.neo.rel	recouvr.neo.rel
A_macrophytes_taxa_all_richness_count		n.taxa	n.taxa	n.taxa	n.taxa	n.taxa	n.taxa	n.taxa
A_macrophytes_taxa_aquatic_richness_count		n.aquat	n.aquat	n.aquat	n.aquat	n.aquat	n.aquat	n.hydr
A_macrophytes_taxa_helophytes_richness_count		n.helo	n.helo	n.helo	n.helo	n.helo	n.helo	n.helo
A_macrophytes_taxa_bryophytes_richness_count		n.moss	n.moos	n.moos	n.moos	n.moos	n.moos	n.bry
A_macrophytes_taxa_neophytes_richness_count		n.neo	n.neo	n.neo	n.neo	n.neo	n.neo	n.neo
A_macrophytes_growthform_all_richness_count		n.grfo	n.grfo	n.grfo	n.grfo	n.grfo	n.grfo	n.focr
A_macrophytes_growthform_helophytes_richness_count		n.grfo.helo	n.grfo.helo	n.grfo.helo	n.grfo.helo	n.grfo.helo	n.grfo.helo	n.focr.helo
A_macrophytes_growthform_aquatic_richness_count		n.grfo.aqua	n.grfo.aqua	n.grfo.aqua	n.grfo.aqua	n.grfo.aqua	n.grfo.aqua	n.focr.hydr
A_macrophytes_neophytes_relcover_percent		cov.neo.rel	dg.neo.rel	dg.neo.rel	dg.neo.rel	dg.neo.rel	dg.neo.rel	recouvr.neo.rel
A_macrophytes_taxa_aquatic_relcover_percent		cov.aquat.rel	dg.aquat.rel	dg.aquat.rel	dg.aquat.rel	dg.aquat.rel	dg.aquat.rel	recouvr.hydr.rel
A_macrophytes_taxa_helophytes_relcover_percent		cov.helo.rel	dg.helo.rel	dg.helo.rel	dg.helo.rel	dg.helo.rel	dg.helo.rel	recouvr.helo.rel
A_macrophytes_taxa_bryophytes_relcover_percent		cov.moss.rel	dg.moos.rel	dg.moos.rel	dg.moos.rel	dg.moos.rel	dg.moos.rel	recouvr.bry.rel
A_macrophytes_taxa_bryophytes_artificialsubstrate_relcover_percent		moos.fractartif	moos.anteilkuenst	moos.anteilkuenst	moos.anteilkuenst	moos.anteilkuenst	moos.anteilkuenst	bry.partartif
A_macrophytes_taxa_bryophytes_adjusted_relcover_percent		cov.moss.rel.adj	dg.moos.rel.adj	dg.moos.rel.adj	dg.moos.rel.adj	dg.moos.rel.adj	dg.moos.rel.adj	recouvr.bry.rel.adj
A_macrophytes_filamentousgreenalgae_relcover_percent		cov.alga.rel	dg.alga.rel	dg.alga.rel	dg.alga.rel	dg.alga.rel	dg.alga.rel	recouvr.alga.rel
A_macrophytes_heipindex_bryophyteonespecies		heip.index.bry	heip.index.bry	heip.index.bry	heip.index.bry	heip.index.bry	heip.index.bry	heip.index.bry
A_macrophytes_allvegetation_abscover_percent		cov.abs	dg.abs	dg.abs	dg.abs	dg.abs	dg.abs	recouvr.abs
A_macrophytes_allmacrophytes_abscover_percent		cov.macro.abs	dg.makro.abs	dg.makro.abs	dg.makro.abs	dg.makro.abs	dg.makro.abs	recouvr.macro.abs
A_macrophytes_taxa_aquatic_abscover_percent		cov.aquat.abs	dg.aquat.abs	dg.aquat.abs	dg.aquat.abs	dg.aquat.abs	dg.aquat.abs	recouvr.hydr.abs
A_macrophytes_taxa_helophytes_abscover_percent		cov.helo.abs	dg.helo.abs	dg.helo.abs	dg.helo.abs	dg.helo.abs	dg.helo.abs	recouvr.helo.abs
A_macrophytes_taxa_bryophytes_abscover_percent		cov.moss.abs	dg.moos.abs	dg.moos.abs	dg.moos.abs	dg.moos.abs	dg.moos.abs	recouvr.bry.abs
A_macrophytes_filamentousgreenalgae_abscover_percent		cov.alga.abs	dg.alga.abs	dg.alga.abs	dg.alga.abs	dg.alga.abs	dg.alga.abs	recouvr.alga.abs
A_macrophytes_taxa_aquatic		taxa.aquatic	taxa.aquatic	taxa.aquatic	taxa.aquatic	taxa.aquatic	taxa.aquatic	taxa.hydrophytes
A_macrophytes_taxa_helophytes		taxa.helo	taxa.helophyten	taxa.helophyten	taxa.helophyten	taxa.helophyten	taxa.helophyten	taxa.helophytes
A_macrophytes_taxa_bryophytes		taxa.moss	taxa.moos	taxa.moos	taxa.moos	taxa.moos	taxa.moos	taxa.bryophytes
								
A_macrophytes_site_sampleid		Code_Sampling	Erhebung_Code	Erhebung_Code	Erhebung_Code	Erhebung_Code	Erhebung_Code	Code_Releve
A_macrophytes_site_siteid		Code_Site	Stellen_Code	Stellen_Code	Stellen_Code	Stellen_Code	Stellen_Code	Code_Site
A_macrophytes_site_samplingdate		Date	Datum	Datum	Datum	Datum	Datum	Date
A_macrophytes_site_canton		Canton	Kanton	Kanton	Kanton	Kanton	Kanton	Canton
A_macrophytes_site_discharge_lpers		Discharge	Abfluss_konsolidiert	Abfluss_konsolidiert	Abfluss_konsolidiert	Abfluss_konsolidiert	Abfluss_konsolidiert	Debit_consolide
